Case,Definitions,Weight,Classification,Comments,Privacy Related?
Your information is only shared with third parties when given specific consent,The service does not share user information with any third parties unless users specifically give it permission to do so,,,,1
"Your IP address is collected, which can be used to view your approximate location",,,,,1
Your personal data is aggregated into statistics,"Your personal data is used for statistics in a de-identified/aggregated form (i.e. not directly linked to a unique identity) to analyse trends, for research and for analytics.",,,,1
Your personal data is not shared with third parties,Information collected from users by this service is not given to third parties.,,,,1
Your personal data is not sold,"This service makes an explicit promise not to sell ""personal data"" of users.",,,,1
Your personal data is used for advertising,"Your interaction with the service and data you have shared with them may be gathered to create an advertising ID or profile to target ads on you, either on the website you were visiting or in third party websites.",,,,1
Your personal data is used for limited purposes,"Your Personal Data is only used for the essential purposes of the Service, which are clearly defined on the Agreements. For instance, the Service won't abuse your data to deliver targeted advertisements to you or for marketing purposes.",,,,1
Your personal data is used to employ targeted third-party advertising,"Your Personal Information is traded and shared with advertising companies to target ads on you, either on the website you were visiting or in third party websites. Your interaction with the service and data you have shared with them may be gathered to create an advertising ID or profile.",,,,1
Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,"If the service gets acquired or is involved in a merger, bankruptcy, reorganisation or sale, your personal data may be transferred or sold.",,,,1
Your personal data may be used for marketing purposes,"The service may use your personal data for marketing, such as sending you personalised offerings.",,,,1
Your private content may be accessed by people working for the service,,,,,1
Your use is throttled,"The service may impose limits or restrictions to the use of the service, thus negatively impacting users experience. They may do so without reason or prior notice.",,,"This seems to be about speed, not privacy",0
